text,category
There is a huge pothole in the middle of the road causing accidents,pothole
The road near my house has multiple deep potholes damaging vehicles,pothole
A large pothole formed after the rain on the main street,pothole
Potholes on the highway are getting worse every day,pothole
My car tire burst because of a pothole on the service road,pothole
The pothole outside the school is a danger to children on bicycles,pothole
Several potholes have appeared near the bus stop this week,pothole
The road surface has caved in creating a deep pothole,pothole
There is a pothole full of water hiding its actual depth,pothole
The street has been full of cracks and potholes for months,pothole
A motorcyclist got injured due to a pothole on the flyover,pothole
The pothole near the traffic signal has not been repaired despite complaints,pothole
Uneven road with a big pothole is causing traffic jams,pothole
The lane closest to the footpath has a dangerous sinkhole-like pothole,pothole
Repeated patchwork has failed and the pothole keeps reopening,pothole
Garbage has not been collected from our street for over a week,garbage
There is a huge pile of garbage rotting near the market,garbage
The garbage bin outside our apartment is overflowing with waste,garbage
Trash is scattered all over the park due to uncollected garbage,garbage
The municipal garbage truck skipped our lane again this week,garbage
Foul smell coming from the garbage dump near the residential area,garbage
Stray animals are spreading garbage all over the street,garbage
The community garbage collection point has not been cleaned in days,garbage
Plastic waste and garbage are blocking the footpath,garbage
Uncollected garbage is attracting flies and mosquitoes near our home,garbage
The garbage disposal site behind the school is overflowing,garbage
Household waste has been dumped illegally on the empty plot,garbage
The public dustbin near the bus stand is broken and garbage spills out,garbage
Garbage burning at night is causing smoke and bad odor,garbage
Construction debris and garbage are piled up on the pavement,garbage
The streetlight on our road has not been working for two weeks,streetlight
Several streetlights in the neighborhood are completely dark at night,streetlight
The streetlight near the park keeps flickering and turning off,streetlight
Broken streetlight pole is leaning dangerously over the sidewalk,streetlight
Our lane has no functioning streetlights making it unsafe at night,streetlight
The streetlight outside my house has been broken for a month,streetlight
Dark streets due to non-working streetlights increase the risk of accidents,streetlight
The streetlight near the school bus stop is not working,streetlight
Multiple streetlights along the highway are switched off every night,streetlight
The streetlight pole was damaged in the storm and never fixed,streetlight
Women feel unsafe walking at night because the streetlights are off,streetlight
The new streetlights installed last year have already stopped working,streetlight
Streetlight wiring is exposed and sparking near the bus stop,streetlight
The entire street plunges into darkness after sunset due to faulty streetlights,streetlight
Streetlight near the temple has been non-functional for weeks,streetlight
Water is leaking continuously from a broken pipe on our street,water_leakage
There is a major water leakage near the main road junction,water_leakage
Our area has a burst water pipeline flooding the street,water_leakage
Clean water is being wasted due to a leaking municipal pipe,water_leakage
The water supply pipe near my house has been leaking for days,water_leakage
A water main burst overnight and is flooding the lane,water_leakage
Underground pipe leakage is causing the road to sink,water_leakage
Water keeps gushing out of a cracked pipe near the park,water_leakage
The leaking pipeline has created a small pond on the street,water_leakage
Water leakage from the overhead tank is wasting thousands of liters,water_leakage
The hydrant valve is broken and water is leaking continuously,water_leakage
A pipe burst near the school is wasting drinking water,water_leakage
Water leakage is seeping into the foundation of nearby houses,water_leakage
The leaking water pipe has been reported multiple times with no fix,water_leakage
Water pressure has dropped because of a leak upstream in the pipeline,water_leakage
The drainage near our house is blocked causing water to stagnate,drainage
Heavy rain caused the drainage system to overflow onto the road,drainage
The open drain outside my house is clogged with plastic waste,drainage
Sewage water is backing up due to a blocked drainage line,drainage
The stormwater drain has not been cleared before monsoon season,drainage
Foul smelling water is stagnating due to poor drainage,drainage
The drainage cover is missing creating a hazard for pedestrians,drainage
Overflowing drains are flooding the market area every rainy day,drainage
The drainage channel near the school is choked with debris,drainage
Mosquitoes are breeding in the stagnant water from the blocked drain,drainage
The underground drainage pipe has collapsed near the junction,drainage
Sewage overflow from the drain is entering nearby houses,drainage
The drain near the bus stop has been overflowing for a week,drainage
Waterlogging occurs every time it rains due to poor drainage,drainage
The community drainage system needs urgent desilting and cleaning,drainage
The public park bench near our colony is completely broken,other
Stray dogs in the neighborhood have become aggressive towards residents,other
The community noticeboard has outdated and misleading information,other
Illegal parking on the main road is causing traffic congestion,other
Loud construction noise continues late into the night disturbing residents,other
The public restroom near the market is locked and unusable,other
Encroachment on the footpath is forcing pedestrians onto the road,other
The children's playground equipment is rusted and unsafe to use,other
Unauthorized hoardings are blocking the view at the intersection,other
The community hall booking system has not been responding for weeks,other
Vandalism has damaged several public benches in the park,other
The bus shelter roof is broken and offers no protection from rain,other
Illegal vendors have taken over the pedestrian walkway,other
The public library has been closed without any prior notice,other
Noise pollution from a nearby generator runs throughout the night,other
